Thu Dec 31 03:03:33 2020,end,sidewind,0.005,45.0,30.000000000000004,60.00000000000001,30.000000000000004,-0.09520732856236255,0.2143946520224478,0.04072577538574748
Thu Dec 31 03:04:24 2020,end,sidewind,0.005,45.0,30.000000000000004,60.00000000000001,30.000000000000004,-1.2230548366036844,0.18684979232052187,0.029085300880596493
Thu Dec 31 03:04:27 2020,end,sidewind,0.00635,50.0,34.0,34.0,126.0,-0.1689205248867511,0.1777986194322811,0.04064944999565805
Thu Dec 31 03:04:31 2020,end,sidewind,0.00775,81.0,286.0,83.0,204.0,0.6481812806588166,-0.2761574485169102,0.1884810866672473
Thu Dec 31 03:04:34 2020,end,sidewind,0.00598,29.000000000000004,61.0,89.0,92.0,-0.4077705923873572,0.13514773546407824,0.014966595097862037
Thu Dec 31 03:04:38 2020,end,sidewind,0.00266,38.0,214.0,56.0,12.0,-0.03452869623800808,-0.049482354341987604,0.01773745708399877
Thu Dec 31 03:04:41 2020,end,sidewind,0.00504,37.0,205.0,85.0,243.0,-1.9701893967229362,-0.9941400360330431,0.025782929141712273
Thu Dec 31 03:04:44 2020,end,sidewind,0.0063,80.0,46.0,33.0,216.0,-0.6398637250940947,0.20874718643825413,0.09421581905674933
Thu Dec 31 03:04:48 2020,end,sidewind,0.00071,37.0,110.0,6.0,181.0,-0.15022917377611006,-0.09968491341494731,0.01656107873245541
Thu Dec 31 03:04:51 2020,end,sidewind,0.00748,72.0,222.0,30.000000000000004,249.0,-0.6077113220012165,-0.34181262371489085,0.0464459312897126
Thu Dec 31 03:04:55 2020,end,sidewind,0.0049,67.0,325.0,14.0,34.0,0.19936843090836287,-0.04618747047035564,0.047237665296742
Thu Dec 31 03:04:58 2020,end,sidewind,0.00219,20.0,91.0,68.0,105.0,-0.21834521096364182,-0.43930460225329715,0.007019701746114843
Thu Dec 31 03:05:02 2020,end,sidewind,0.00094,28.0,103.0,51.0,52.0,-0.3087546560959551,-0.13659679572594177,0.00681361582726938
Thu Dec 31 03:05:05 2020,end,sidewind,0.00253,76.0,159.0,28.0,295.0,-0.24432848155361964,0.33265221641629,0.12145975209391699
Thu Dec 31 03:05:09 2020,end,sidewind,0.00515,43.0,353.0,63.0,8.0,-0.05023148624508379,-0.15763078921555973,0.030630924917787957
Thu Dec 31 03:05:12 2020,end,sidewind,0.00433,51.0,226.0,13.0,322.0,-0.0389936823276725,-0.10218216290221727,0.035782532226785686
Thu Dec 31 03:05:16 2020,end,sidewind,0.00371,19.0,190.0,74.0,208.0,-0.2278349608256563,0.22307792085617817,0.008192083989202414
Thu Dec 31 03:05:19 2020,end,sidewind,0.00409,82.0,268.0,25.0,154.0,0.18527579716282486,-0.1567986343276899,0.05163272570890017
Thu Dec 31 03:05:23 2020,end,sidewind,0.00179,87.0,78.0,80.0,344.0,-0.5277990577006486,0.28881745078006094,0.06973069643752201
Thu Dec 31 03:05:26 2020,end,sidewind,0.00434,31.0,118.00000000000001,59.00000000000001,123.0,-0.2583722903939797,-0.7425613838021589,0.007721771787393972
Thu Dec 31 03:05:30 2020,end,sidewind,0.00127,81.0,206.0,16.0,221.0,0.23744273031486626,0.22708037128022837,0.0892937034426193
Thu Dec 31 03:05:33 2020,end,sidewind,0.00173,65.0,337.0,61.0,277.0,0.26690793257068274,-0.26399017824662896,0.03890603198416501
Thu Dec 31 03:05:36 2020,end,sidewind,0.00447,48.0,248.0,65.0,34.0,0.10095521898459127,-0.07770708246767483,0.022752510717407515
Thu Dec 31 03:05:40 2020,end,sidewind,0.00423,69.0,122.0,6.0,269.0,-0.6834624532846814,0.1870308876106778,0.10744962254688842
Thu Dec 31 03:05:43 2020,end,sidewind,0.00362,32.0,231.00000000000003,81.0,331.0,0.04469126250440496,-0.22160034649791668,0.014131881291203019
Thu Dec 31 03:05:47 2020,end,sidewind,0.00248,14.0,130.0,72.0,49.0,-0.1700140150628046,-0.0858961568455722,0.006218489283034822
Thu Dec 31 03:05:50 2020,end,sidewind,0.0022,65.0,133.0,29.000000000000004,47.0,-0.6757473777128036,-0.049452106722060435,0.09411622168413385
Thu Dec 31 03:05:54 2020,end,sidewind,0.00173,22.0,97.0,32.0,235.00000000000003,-0.06945908044304669,-0.06456647062162447,0.008589589214242802
Thu Dec 31 03:05:57 2020,end,sidewind,0.00435,48.0,100.0,4.0,213.0,-0.23465565365230015,0.08538292899528296,0.035166717554080365
Thu Dec 31 03:06:01 2020,end,sidewind,0.00575,83.0,239.00000000000003,56.0,143.0,-1.1895984085044253,-0.48930540475948825,0.19334726630342114
Thu Dec 31 03:06:04 2020,end,sidewind,0.00212,87.0,154.0,85.0,53.0,-1.0154499470179088,0.8286786437807786,0.194667485608285
