Tue Oct  6 15:13:14 2020,end,sinuous,0.005,45.0,30.000000000000004,60.00000000000001,30.000000000000004,-0.25799509073950305,-0.7705161747273778,0.11604810810804206
Tue Oct  6 15:13:17 2020,end,sinuous,0.00545,63.0,348.0,49.0,303.0,-0.3863290227767814,0.4942671128402223,0.1087570870604532
Tue Oct  6 15:13:21 2020,end,sinuous,0.00594,36.0,112.0,71.0,341.0,-0.36522694674941814,-0.4513131016621288,0.10565786353163968
Tue Oct  6 15:13:25 2020,end,sinuous,0.00065,59.00000000000001,88.0,53.0,290.0,-0.19248657911549424,-0.14737079383711374,0.018688464123895288
Tue Oct  6 15:13:29 2020,end,sinuous,0.00485,33.0,216.0,81.0,345.0,0.11511399996082444,-0.24249470561278277,0.13336702690529284
Tue Oct  6 15:13:32 2020,end,sinuous,0.00566,57.0,143.0,6.0,333.0,-0.4127934479125859,-0.027278243525467653,0.04430556318820205
Tue Oct  6 15:13:36 2020,end,sinuous,0.00391,72.0,322.0,4.0,10.0,-0.49807914896291555,-0.012219918277922646,0.03305674877326808
Tue Oct  6 15:13:40 2020,end,sinuous,0.00409,59.00000000000001,64.0,32.0,221.0,0.1859549608937272,-0.1318512903434626,0.05143935380664687
Tue Oct  6 15:13:44 2020,end,sinuous,0.00215,25.0,112.0,84.0,243.0,-0.15024977300227807,0.04918912007890438,0.023148326773510378
Tue Oct  6 15:13:47 2020,end,sinuous,0.00777,57.0,133.0,11.0,266.0,-0.250920881204261,0.11901667256836385,0.04167100712580712
Tue Oct  6 15:13:51 2020,end,sinuous,0.00269,14.0,114.0,54.0,189.0,0.05746276118485022,-0.013157174998197104,0.004594715195272597
Tue Oct  6 15:13:55 2020,end,sinuous,0.00071,2.0,149.0,23.0,214.0,-0.019559673405335844,-0.012088177802468212,0.0035043736761571605
Tue Oct  6 15:13:59 2020,end,sinuous,0.00695,90.0,15.000000000000002,46.0,261.0,0.08901563242043943,-0.21272018459470343,0.10541912404394266
Tue Oct  6 15:14:03 2020,end,sinuous,0.00613,11.0,142.0,15.000000000000002,95.0,0.05521008123842071,0.011895737618307341,0.01104288011600074
Tue Oct  6 15:14:07 2020,end,sinuous,0.00784,42.0,293.0,20.0,71.0,-0.08657283132087094,-0.2599332184659507,0.03593752390110952
Tue Oct  6 15:14:10 2020,end,sinuous,0.00332,24.0,111.0,86.0,195.0,-0.12148665464528736,-0.0768256540610513,0.04547544575138457
Tue Oct  6 15:14:14 2020,end,sinuous,0.00711,16.0,80.0,72.0,136.0,0.11715435463235342,0.042841301265761654,0.020664559989259243
Tue Oct  6 15:14:18 2020,end,sinuous,0.00472,23.0,129.0,40.0,157.0,-0.12985364902185795,0.04949171344546969,0.01482919278469846
Tue Oct  6 15:14:21 2020,end,sinuous,0.00202,49.0,22.0,65.0,185.0,-0.15105130646088466,0.16555107088943186,0.01989167868446114
